timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 17:34:51.685, 1, 2820 MHz, 14001 MHz, 600.00 W, 68, 94 %, 395 MiB
2026/09/23 17:34:52.689, 0, 1215 MHz, 810 MHz, 44.04 W, 38, 26 %, 3179 MiB
2026/09/23 17:34:52.689, 1, 2820 MHz, 14001 MHz, 599.39 W, 69, 94 %, 395 MiB
2026/09/23 17:34:53.690, 0, 975 MHz, 405 MHz, 40.93 W, 38, 11 %, 3179 MiB
2026/09/23 17:34:53.690, 1, 2812 MHz, 14001 MHz, 600.59 W, 69, 94 %, 395 MiB
2026/09/23 17:34:54.705, 0, 937 MHz, 405 MHz, 40.58 W, 38, 11 %, 3179 MiB
2026/09/23 17:34:54.705, 1, 2812 MHz, 14001 MHz, 599.83 W, 69, 94 %, 395 MiB
2026/09/23 17:34:55.717, 0, 960 MHz, 405 MHz, 41.36 W, 38, 15 %, 3179 MiB
2026/09/23 17:34:55.717, 1, 2812 MHz, 14001 MHz, 600.34 W, 68, 94 %, 395 MiB
2026/09/23 17:34:56.722, 0, 945 MHz, 405 MHz, 40.85 W, 38, 8 %, 3179 MiB
2026/09/23 17:34:56.722, 1, 2812 MHz, 14001 MHz, 599.98 W, 69, 95 %, 395 MiB
2026/09/23 17:34:57.725, 0, 945 MHz, 405 MHz, 40.10 W, 38, 8 %, 3179 MiB
2026/09/23 17:34:57.725, 1, 2812 MHz, 14001 MHz, 600.41 W, 69, 95 %, 395 MiB
2026/09/23 17:34:58.741, 0, 1005 MHz, 405 MHz, 39.58 W, 38, 7 %, 3179 MiB
2026/09/23 17:34:58.741, 1, 2812 MHz, 14001 MHz, 600.41 W, 69, 95 %, 395 MiB
2026/09/23 17:34:59.754, 0, 1050 MHz, 405 MHz, 40.08 W, 38, 14 %, 3179 MiB
2026/09/23 17:34:59.754, 1, 2812 MHz, 14001 MHz, 599.93 W, 69, 95 %, 395 MiB
2026/09/23 17:35:00.769, 0, 1050 MHz, 405 MHz, 40.96 W, 38, 7 %, 3179 MiB
2026/09/23 17:35:00.769, 1, 2812 MHz, 14001 MHz, 600.34 W, 69, 95 %, 395 MiB
