coordinate,u_hdx4,v_hdx4,u_hdx3.5,v_hdx3.5,u_hdx3,v_hdx3,u_hdx2.5,v_hdx2.5,u_hdx2,v_hdx2
0.12000,-0.033155,-0.005337,-0.033331,-0.005430,-0.033530,-0.005382,-0.032310,-0.005139,-0.000791,-0.018022
0.12500,-0.033553,-0.005723,-0.033730,-0.005824,-0.033935,-0.005759,-0.032708,-0.005503,-0.000251,-0.004717
0.13000,-0.033954,-0.006113,-0.034133,-0.006219,-0.034346,-0.006147,-0.033133,-0.005877,0.000070,0.005072
0.13500,-0.034358,-0.006505,-0.034542,-0.006615,-0.034757,-0.006545,-0.033561,-0.006257,-0.000829,0.002465
0.14000,-0.034765,-0.006899,-0.034956,-0.007013,-0.035169,-0.006946,-0.033993,-0.006651,-0.001417,-0.000709
0.14500,-0.035175,-0.007296,-0.035375,-0.007413,-0.035584,-0.007352,-0.034426,-0.007071,-0.003058,0.001582
0.15000,-0.035587,-0.007697,-0.035797,-0.007815,-0.035999,-0.007763,-0.034858,-0.007491,-0.006361,0.006754
0.15500,-0.036000,-0.008101,-0.036218,-0.008222,-0.036409,-0.008176,-0.035284,-0.007891,-0.000109,0.006208
0.16000,-0.036416,-0.008509,-0.036639,-0.008633,-0.036824,-0.008592,-0.035722,-0.008280,0.001440,0.004065
0.16500,-0.036835,-0.008922,-0.037061,-0.009046,-0.037249,-0.009012,-0.036181,-0.008676,-0.000427,0.008216
0.17000,-0.037255,-0.009341,-0.037484,-0.009458,-0.037677,-0.009433,-0.036621,-0.009072,0.000158,0.012184
0.17500,-0.037675,-0.009764,-0.037908,-0.009873,-0.038102,-0.009862,-0.037067,-0.009465,0.000324,0.012224
0.18000,-0.038096,-0.010192,-0.038330,-0.010291,-0.038530,-0.010291,-0.037500,-0.009842,0.000282,0.009196
0.18500,-0.038518,-0.010623,-0.038750,-0.010712,-0.038958,-0.010719,-0.037915,-0.010227,0.000654,-0.003252
0.19000,-0.038938,-0.011056,-0.039170,-0.011138,-0.039387,-0.011146,-0.038324,-0.010625,0.000646,-0.005342
0.19500,-0.039356,-0.011490,-0.039590,-0.011565,-0.039819,-0.011575,-0.038735,-0.011039,0.000246,-0.000957
0.20000,-0.039771,-0.011925,-0.040011,-0.011997,-0.040254,-0.012006,-0.039150,-0.011454,-0.000791,0.004183
0.20500,-0.040185,-0.012362,-0.040433,-0.012429,-0.040689,-0.012442,-0.039594,-0.011880,-0.001080,0.012825
0.21000,-0.040598,-0.012803,-0.040856,-0.012863,-0.041131,-0.012880,-0.040070,-0.012297,0.000278,0.012536
0.21500,-0.041012,-0.013246,-0.041278,-0.013297,-0.041581,-0.013315,-0.040548,-0.012718,0.002850,0.007406
0.22000,-0.041427,-0.013688,-0.041701,-0.013732,-0.042033,-0.013756,-0.040992,-0.013124,0.003762,0.005837
0.22500,-0.041844,-0.014131,-0.042122,-0.014166,-0.042474,-0.014198,-0.041436,-0.013532,0.001391,0.008213
0.23000,-0.042262,-0.014574,-0.042541,-0.014600,-0.042910,-0.014642,-0.041865,-0.013933,-0.002620,0.008221
0.23500,-0.042684,-0.015018,-0.042960,-0.015035,-0.043342,-0.015085,-0.042290,-0.014340,-0.005784,0.008866
0.24000,-0.043106,-0.015461,-0.043377,-0.015470,-0.043766,-0.015532,-0.042712,-0.014734,-0.014101,0.011466
0.24500,-0.043526,-0.015905,-0.043793,-0.015905,-0.044177,-0.015974,-0.043118,-0.015136,-0.007774,0.001721
0.25000,-0.043944,-0.016349,-0.044206,-0.016341,-0.044574,-0.016413,-0.043513,-0.015532,-0.002708,-0.013448
0.25500,-0.044361,-0.016793,-0.044619,-0.016779,-0.044969,-0.016851,-0.043903,-0.015934,-0.003988,-0.014799
0.26000,-0.044775,-0.017237,-0.045032,-0.017216,-0.045361,-0.017291,-0.044306,-0.016327,-0.006411,-0.002676
0.26500,-0.045188,-0.017679,-0.045440,-0.017652,-0.045749,-0.017725,-0.044732,-0.016734,-0.004380,-0.000082
0.27000,-0.045598,-0.018120,-0.045844,-0.018085,-0.046138,-0.018154,-0.045171,-0.017146,-0.002035,-0.003049
0.27500,-0.046008,-0.018557,-0.046248,-0.018521,-0.046531,-0.018576,-0.045617,-0.017571,-0.003743,-0.012186
0.28000,-0.046417,-0.018991,-0.046648,-0.018961,-0.046926,-0.018998,-0.046062,-0.018001,-0.003607,-0.016378
0.28500,-0.046825,-0.019424,-0.047046,-0.019402,-0.047325,-0.019428,-0.046499,-0.018439,0.000496,-0.018388
0.29000,-0.047230,-0.019856,-0.047441,-0.019840,-0.047724,-0.019863,-0.046921,-0.018864,0.003130,-0.019238
0.29500,-0.047635,-0.020287,-0.047834,-0.020275,-0.048124,-0.020293,-0.047331,-0.019285,0.002398,-0.016827
0.30000,-0.048037,-0.020714,-0.048223,-0.020705,-0.048523,-0.020713,-0.047733,-0.019696,0.000548,-0.006706
0.30500,-0.048436,-0.021137,-0.048606,-0.021131,-0.048918,-0.021127,-0.048122,-0.020108,-0.000368,0.003836
0.31000,-0.048832,-0.021556,-0.048984,-0.021551,-0.049312,-0.021530,-0.048503,-0.020512,-0.001321,0.002856
0.31500,-0.049224,-0.021970,-0.049355,-0.021965,-0.049709,-0.021925,-0.048873,-0.020913,0.000325,-0.007203
0.32000,-0.049608,-0.022378,-0.049718,-0.022375,-0.050111,-0.022313,-0.049236,-0.021308,0.004360,-0.026698
0.32500,-0.049983,-0.022779,-0.050071,-0.022780,-0.050507,-0.022700,-0.049590,-0.021703,0.003667,-0.032803
0.33000,-0.050345,-0.023175,-0.050413,-0.023181,-0.050890,-0.023089,-0.049929,-0.022090,0.001570,-0.033168
0.33500,-0.050690,-0.023565,-0.050742,-0.023574,-0.051242,-0.023466,-0.050252,-0.022473,0.006340,-0.028174
0.34000,-0.051012,-0.023948,-0.051049,-0.023955,-0.051560,-0.023836,-0.050547,-0.022846,0.019001,-0.013309
0.34500,-0.051299,-0.024323,-0.051322,-0.024322,-0.051834,-0.024193,-0.050813,-0.023214,0.024582,-0.003204
0.35000,-0.051539,-0.024688,-0.051548,-0.024676,-0.052057,-0.024539,-0.051034,-0.023563,0.014259,0.017966
0.35500,-0.051713,-0.025041,-0.051707,-0.025017,-0.052211,-0.024879,-0.051201,-0.023899,0.002406,0.017293
0.36000,-0.051797,-0.025381,-0.051776,-0.025345,-0.052272,-0.025209,-0.051285,-0.024209,-0.000238,0.015308
0.36500,-0.051755,-0.025706,-0.051726,-0.025659,-0.052211,-0.025527,-0.051260,-0.024509,0.001251,0.014187
0.37000,-0.051544,-0.026013,-0.051516,-0.025963,-0.051985,-0.025832,-0.051083,-0.024806,0.002440,0.012208
0.37500,-0.051104,-0.026301,-0.051088,-0.026255,-0.051533,-0.026129,-0.050706,-0.025106,0.001613,0.001732
0.38000,-0.050359,-0.026568,-0.050368,-0.026533,-0.050787,-0.026417,-0.050044,-0.025373,0.000939,-0.006678
0.38500,-0.049217,-0.026812,-0.049255,-0.026793,-0.049651,-0.026688,-0.049034,-0.025607,0.003437,0.018030
0.39000,-0.047564,-0.027033,-0.047625,-0.027031,-0.048027,-0.026932,-0.047516,-0.025822,0.007820,0.046779
0.39500,-0.045264,-0.027229,-0.045326,-0.027246,-0.045744,-0.027132,-0.045415,-0.026020,0.010499,0.043299
0.40000,-0.042155,-0.027397,-0.042184,-0.027434,-0.042621,-0.027288,-0.042505,-0.026186,0.008297,0.020887
0.40500,-0.038032,-0.027532,-0.037972,-0.027592,-0.038446,-0.027410,-0.038610,-0.026319,0.000153,0.000481
0.41000,-0.032645,-0.027629,-0.032425,-0.027711,-0.033044,-0.027508,-0.033492,-0.026426,-0.000680,-0.001675
0.41500,-0.025708,-0.027680,-0.025168,-0.027785,-0.026173,-0.027578,-0.026939,-0.026504,-0.000929,-0.004839
0.42000,-0.016874,-0.027677,-0.015838,-0.027807,-0.017406,-0.027603,-0.018783,-0.026541,-0.002464,-0.016623
0.42500,-0.005718,-0.027610,-0.004123,-0.027769,-0.006317,-0.027561,-0.008141,-0.026545,-0.004493,-0.001534
0.43000,0.008222,-0.027468,0.010335,-0.027662,0.007362,-0.027443,0.004754,-0.026519,-0.004139,0.027896
0.43500,0.025378,-0.027237,0.027841,-0.027468,0.024347,-0.027240,0.021006,-0.026448,-0.005089,0.070495
0.44000,0.046190,-0.026903,0.048838,-0.027170,0.045270,-0.026933,0.041603,-0.026292,-0.008753,0.078203
0.44500,0.071185,-0.026448,0.073574,-0.026751,0.070525,-0.026505,0.067102,-0.026010,-0.005855,0.075838
0.45000,0.100966,-0.025856,0.102608,-0.026187,0.100248,-0.025950,0.098143,-0.025570,0.000566,0.069393
0.45500,0.136196,-0.025105,0.136718,-0.025458,0.135236,-0.025249,0.136187,-0.024976,-0.002668,0.040401
0.46000,0.177371,-0.024173,0.176986,-0.024540,0.175213,-0.024355,0.179545,-0.024203,-0.006407,0.025688
0.46500,0.225141,-0.023042,0.224595,-0.023412,0.220819,-0.023249,0.230340,-0.023250,-0.008858,0.017913
0.47000,0.280186,-0.021690,0.279417,-0.022053,0.272269,-0.021927,0.288241,-0.022042,-0.004644,0.003683
0.47500,0.343007,-0.020095,0.341152,-0.020448,0.330763,-0.020355,0.351529,-0.020564,0.028989,0.001353
0.48000,0.413463,-0.018232,0.410824,-0.018573,0.398103,-0.018461,0.421562,-0.018798,0.051103,0.007468
0.48500,0.491326,-0.016077,0.489898,-0.016389,0.476919,-0.016246,0.503096,-0.016721,0.038334,0.008137
0.49000,0.577089,-0.013599,0.577615,-0.013856,0.567359,-0.013754,0.590053,-0.014234,0.040402,0.005610
0.49500,0.670224,-0.010797,0.672879,-0.010951,0.667986,-0.010902,0.677334,-0.011326,0.061753,0.004755
0.50000,0.766275,-0.007799,0.772914,-0.007780,0.774166,-0.007626,0.777061,-0.007993,0.116614,0.001919
