timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/24 16:06:51.467, 0, 32 MHz, 405 MHz, 23.68 W, 51, 1 %, 3204 MiB
2026/09/24 16:06:51.467, 1, 2707 MHz, 14001 MHz, 599.99 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:52.480, 0, 33 MHz, 405 MHz, 22.09 W, 51, 1 %, 3199 MiB
2026/09/24 16:06:52.480, 1, 2707 MHz, 14001 MHz, 599.98 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:53.482, 0, 77 MHz, 405 MHz, 27.41 W, 51, 1 %, 3203 MiB
2026/09/24 16:06:53.482, 1, 2707 MHz, 14001 MHz, 600.09 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:54.497, 0, 39 MHz, 405 MHz, 28.80 W, 51, 1 %, 3208 MiB
2026/09/24 16:06:54.497, 1, 2707 MHz, 14001 MHz, 599.86 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:55.503, 0, 225 MHz, 405 MHz, 23.48 W, 51, 1 %, 3206 MiB
2026/09/24 16:06:55.503, 1, 2707 MHz, 14001 MHz, 600.09 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:56.507, 0, 30 MHz, 405 MHz, 23.11 W, 51, 1 %, 3209 MiB
2026/09/24 16:06:56.507, 1, 2707 MHz, 14001 MHz, 599.90 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:57.510, 0, 37 MHz, 405 MHz, 21.53 W, 51, 1 %, 3209 MiB
2026/09/24 16:06:57.510, 1, 2707 MHz, 14001 MHz, 600.06 W, 69, 100 %, 2757 MiB
2026/09/24 16:06:58.525, 0, 32 MHz, 405 MHz, 23.38 W, 51, 1 %, 3208 MiB
2026/09/24 16:06:58.525, 1, 2707 MHz, 14001 MHz, 600.07 W, 68, 100 %, 2757 MiB
2026/09/24 16:06:59.540, 0, 31 MHz, 405 MHz, 24.13 W, 51, 1 %, 3208 MiB
2026/09/24 16:06:59.540, 1, 2707 MHz, 14001 MHz, 599.83 W, 69, 100 %, 2757 MiB
2026/09/24 16:07:00.556, 0, 32 MHz, 405 MHz, 24.24 W, 51, 1 %, 3208 MiB
2026/09/24 16:07:00.556, 1, 2700 MHz, 14001 MHz, 600.11 W, 69, 100 %, 2757 MiB
2026/09/24 16:07:01.556, 0, 31 MHz, 405 MHz, 23.53 W, 51, 1 %, 3207 MiB
2026/09/24 16:07:01.556, 1, 2700 MHz, 14001 MHz, 600.03 W, 69, 100 %, 2757 MiB
2026/09/24 16:07:02.560, 0, 28 MHz, 405 MHz, 22.42 W, 51, 1 %, 3196 MiB
2026/09/24 16:07:02.560, 1, 2700 MHz, 14001 MHz, 600.06 W, 68, 100 %, 2757 MiB
2026/09/24 16:07:03.563, 0, 33 MHz, 405 MHz, 23.79 W, 51, 1 %, 3191 MiB
2026/09/24 16:07:03.563, 1, 2700 MHz, 14001 MHz, 599.82 W, 69, 100 %, 2757 MiB
2026/09/24 16:07:04.570, 0, 35 MHz, 405 MHz, 21.71 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:04.570, 1, 2700 MHz, 14001 MHz, 600.09 W, 69, 100 %, 2757 MiB
2026/09/24 16:07:05.575, 0, 28 MHz, 405 MHz, 21.26 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:05.575, 1, 2955 MHz, 14001 MHz, 344.18 W, 56, 60 %, 2757 MiB
2026/09/24 16:07:06.578, 0, 31 MHz, 405 MHz, 22.39 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:06.578, 1, 2955 MHz, 14001 MHz, 98.35 W, 55, 0 %, 2757 MiB
2026/09/24 16:07:07.585, 0, 32 MHz, 405 MHz, 23.11 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:07.585, 1, 510 MHz, 7001 MHz, 67.46 W, 52, 1 %, 18 MiB
2026/09/24 16:07:08.595, 0, 41 MHz, 405 MHz, 23.17 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:08.595, 1, 405 MHz, 7001 MHz, 38.30 W, 51, 0 %, 18 MiB
2026/09/24 16:07:09.604, 0, 39 MHz, 405 MHz, 26.16 W, 51, 1 %, 3203 MiB
2026/09/24 16:07:09.604, 1, 255 MHz, 7001 MHz, 37.44 W, 51, 0 %, 18 MiB
