timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/09/23 22:47:16.562, 0, 28 MHz, 405 MHz, 19.81 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:16.562, 1, 2962 MHz, 14001 MHz, 168.10 W, 54, 0 %, 18 MiB
2026/09/23 22:47:17.573, 0, 28 MHz, 405 MHz, 21.25 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:17.573, 1, 2820 MHz, 14001 MHz, 370.85 W, 68, 41 %, 395 MiB
2026/09/23 22:47:18.580, 0, 28 MHz, 405 MHz, 21.93 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:18.580, 1, 2790 MHz, 14001 MHz, 600.73 W, 68, 100 %, 395 MiB
2026/09/23 22:47:19.594, 0, 28 MHz, 405 MHz, 20.54 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:19.594, 1, 2790 MHz, 14001 MHz, 600.08 W, 68, 100 %, 395 MiB
2026/09/23 22:47:20.605, 0, 28 MHz, 405 MHz, 21.00 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:20.605, 1, 2782 MHz, 14001 MHz, 599.49 W, 69, 100 %, 395 MiB
2026/09/23 22:47:21.606, 0, 28 MHz, 405 MHz, 21.82 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:21.606, 1, 2790 MHz, 14001 MHz, 599.72 W, 69, 100 %, 395 MiB
2026/09/23 22:47:22.614, 0, 28 MHz, 405 MHz, 21.55 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:22.614, 1, 2790 MHz, 14001 MHz, 600.30 W, 69, 100 %, 395 MiB
2026/09/23 22:47:23.628, 0, 28 MHz, 405 MHz, 20.36 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:23.628, 1, 2782 MHz, 14001 MHz, 600.25 W, 69, 100 %, 395 MiB
2026/09/23 22:47:24.635, 0, 28 MHz, 405 MHz, 21.19 W, 49, 0 %, 3213 MiB
2026/09/23 22:47:24.635, 1, 2782 MHz, 14001 MHz, 599.78 W, 69, 100 %, 395 MiB
2026/09/23 22:47:25.646, 0, 28 MHz, 405 MHz, 20.95 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:25.646, 1, 2782 MHz, 14001 MHz, 599.97 W, 69, 100 %, 395 MiB
2026/09/23 22:47:26.656, 0, 28 MHz, 405 MHz, 21.08 W, 50, 0 %, 3213 MiB
2026/09/23 22:47:26.656, 1, 2782 MHz, 14001 MHz, 599.93 W, 69, 100 %, 395 MiB
2026/09/23 22:47:27.667, 0, 28 MHz, 405 MHz, 20.65 W, 49, 0 %, 3213 MiB
